,County,State,Outbreak Date,Flock Type,Flock Size
252,Knox,Nebraska,12-02-2022,WOAH Non-Poultry,10
253,Clark,South Dakota,12-02-2022,WOAH Non-Poultry,40
254,Canyon,Idaho,12-01-2023,WOAH Non-Poultry,20
255,Darke,Ohio,12-01-2023,Commercial Turkey Meat Bird,33000
256,Bay,Michigan,12-01-2023,WOAH Non-Poultry,60
257,Woodbury,Iowa,12-01-2023,WOAH Non-Poultry,40
258,Lake,South Dakota,12-01-2022,Commercial Turkey Meat Bird,78000
259,Jackson,Missouri,12-01-2022,WOAH Non-Poultry,30
260,Arkansas,Arkansas,12-01-2022,WOAH Non-Poultry,20
261,Brookings,South Dakota,12-01-2022,WOAH Non-Poultry,210
262,Sonoma,California,11-30-2023,Commercial Table Egg Layer,82500
